Years,States,Total women with births,Birth rate,Less than high school graduate,High school graduate,Some college or associate's degree,Bachelor's degree,Graduate or professional degree,Percent of women in labor force,Teenage pregnancy,Teenage birth Rate,Total population,Total sex ratio,Total households,Households with own children ,Median household income,"Marriage Rate Per 1,000 Women"
2013,Alaska,12010,16.7,28048,41405,64824,29799,11962,73.2,518,20,720316,109.1,251899,83892,70760,19.4
2013,Arizona,88162,13.6,324791,326271,546582,233757,101311,68.8,5825,22,6479703,98.9,2370289,687333,49774,16.4
2013,Arkansas,38668,13.2,132302,189517,242768,92867,36507,68.6,3094,30,2933369,96.4,1129723,322304,40768,20.9
2013,California,514155,13.7,2141423,1806061,3090691,1717731,774596,68.2,27902,19,37659181,98.9,12542460,4105841,61094,16.2
2013,Colorado,70944,13.9,207386,228065,414461,284777,126670,74.4,3614,19,5119329,100.7,1977591,588574,58433,22.0
2013,Connecticut,40180,11.2,131646,179178,263842,180233,113663,76.1,1549,12,3583561,94.9,1355849,407094,69461,14.5
2013,Delaware,11904,13.1,37070,54423,69523,39661,20576,74.0,441,14,908446,93.9,335707,94010,59878,17.1
2013,District of Columbia,8460,13.7,21618,29789,43454,47145,47639,75.5,419,21,619371,89.8,263649,46867,65830,18.5
2013,Florida,220679,11.6,774753,1084297,1532683,733632,313920,72.2,12306,19,19091156,95.6,7158980,1816383,46956,14.2
2013,Georgia,143485,14.6,474458,579312,824585,429883,213448,70.0,9516,25,9810417,95.6,3518097,1113192,49179,17.2
2013,Hawaii,20210,14.7,39726,77967,113166,62570,25920,73.0,1091,20,1376298,101.0,449771,124471,67402,20.2
2013,Idaho,25071,15.8,64321,88314,139505,59878,17289,69.9,1338,20,1583364,100.5,579797,188581,46767,19.5
2013,Illinois,169451,13.2,546609,642085,1020638,650814,323681,74.0,9847,20,12848554,96.3,4772723,1426391,56797,14.9
2013,Indiana,88098,13.5,291741,392437,538895,252319,92480,72.4,6340,26,6514861,96.9,2481793,734537,48248,18.3
2013,Iowa,40334,13.2,105489,140398,279680,135586,45497,79.6,1886,15,3062553,98.0,1226547,349406,51843,16.7
2013,Kansas,43361,15.1,112765,128892,244350,131816,54657,75.8,2494,23,2868107,98.8,1110440,336091,51332,20.0
2013,Kentucky,57137,13.1,185173,266448,370133,144227,79878,69.8,4414,29,4361333,96.9,1694996,484878,43036,18.9
2013,Louisiana,64381,14.1,225658,304433,366235,168766,62620,69.6,4598,25,4567968,95.8,1707852,496786,44874,14.6
2013,Maine,14255,10.7,38850,80886,105085,55604,22945,76.3,645,12,1328320,95.7,553823,138901,48453,17.1
2013,Maryland,80059,13.7,221810,305740,446318,302417,201315,77.1,4054,18,5834299,93.8,2146240,646709,73538,15.4
2013,Massachusetts,78337,11.9,231838,314703,493531,391219,237339,76.1,2576,10,6605058,93.8,2530147,719044,66866,14.1
2013,Michigan,123290,12.5,386932,510668,885611,385186,181245,73.0,7419,19,9886095,96.4,3823280,1078757,48411,14.4
2013,Minnesota,74062,13.8,183686,223111,469698,292095,115631,80.5,3172,18,5347740,98.6,2107232,626515,59836,17.4
2013,Mississippi,42188,14.2,143655,172571,278877,93757,41703,67.6,3987,31,2976872,94.4,1088073,323917,39031,18.1
2013,Missouri,80387,13.4,244568,326628,499349,249071,118211,74.7,5592,25,6007182,96.0,2360131,667282,47380,17.4
2013,Montana,12650,12.7,33500,50833,81218,43143,14317,75.1,724,17,998554,100.9,405525,103846,46230,18.2
2013,Nebraska,27848,15.1,69873,80059,162792,87147,33140,79.4,1186,17,1841625,98.4,725787,215149,51672,18.3
2013,Nevada,37947,13.9,148722,170060,221034,89493,35668,72.3,2481,24,2730066,101.8,999016,299393,52800,18.7
2013,New Hampshire,14739,11.2,41666,70180,106031,66752,30319,77.2,483,9,1319171,97.5,518245,145476,64916,15.1
2013,New Jersey,109719,12.4,338773,478118,601146,497085,245173,72.9,3471,11,8832406,95.1,3186418,1013451,71629,13.3
2013,New Mexico,29133,14.1,105639,106840,176016,62693,33710,68.2,2863,33,2069706,98.0,761938,217153,44927,17.9
2013,New York,244282,12.5,860369,995103,1456531,997098,626839,70.9,10435,15,19487053,94.0,7234743,2064518,58003,13.5
2013,North Carolina,131026,13.6,421345,484708,859242,441471,177049,71.8,9265,26,9651380,95.0,3715565,1083970,46334,17.0
2013,North Dakota,10214,14.8,19403,29181,66012,34869,10449,80.7,446,25,689781,103.0,287270,75952,53741,24.2
2013,Ohio,145663,12.6,449069,680324,946651,447848,213332,74.4,8573,19,11549590,95.5,4557655,1269793,48308,15.4
2013,Oklahoma,53400,14.1,167331,229691,312335,140738,47443,69.2,4138,30,3785742,98.0,1444081,425517,45339,21.7
2013,Oregon,47752,12.3,158173,185370,335517,163171,76354,72.5,2202,17,3868721,97.9,1516456,414003,50229,16.1
2013,Pennsylvania,148166,11.6,460251,795446,913660,557674,275707,73.2,8918,19,12731381,95.3,4958427,1319528,52548,14.5
2013,Rhode Island,12054,11.5,41253,54056,91703,50292,24789,76.2,713,18,1051695,93.6,410058,111527,56361,13.5
2013,South Carolina,63460,13.6,201422,270461,405044,176638,80590,72.0,4969,28,4679602,94.7,1780251,495269,44779,16.1
2013,South Dakota,12365,15.0,30280,40084,69639,35936,11241,79.4,644,24,825198,100.9,323136,92808,49495,23.2
2013,Tennessee,91077,14.2,268682,425773,506925,249406,112021,70.4,6635,30,6402387,95.1,2475195,695010,44298,17.7
2013,Texas,402540,15.7,1470195,1424082,2090888,1071173,410963,68.3,34642,34,25639373,98.6,8886471,3031308,51900,19.2
2013,Utah,53252,18.9,119004,145181,283216,123441,34368,68.8,1939,15,2813673,101.1,886770,348127,58821,25.3
2013,Vermont,6025,9.6,18477,33241,49172,31373,14635,77.3,299,11,625904,97.2,257004,66389,54267,16.1
2013,Virginia,108455,13.4,306003,412797,649679,430182,237614,73.5,5148,17,8100653,96.5,3022739,903081,63907,17.3
2013,Washington,91014,13.3,276422,329867,594094,314691,142424,71.3,3879,16,6819579,99.5,2629126,764409,59478,19.7
2013,West Virginia,19449,10.5,73547,128724,139311,53630,25190,64.8,1520,23,1853619,97.1,741390,180834,41043,15.5
2013,Wisconsin,71034,12.4,204154,304779,488006,253506,98479,79.2,3336,14,5706871,98.6,2288332,643175,52413,14.7
2013,Wyoming,7750,13.6,18923,29602,53879,20427,8075,74.7,453,21,570134,104.4,222846,64197,57406,19.4
2013,Puerto Rico,38620,10.5,179860,201225,294206,183905,59085,56.4,4876,34,3682966,91.9,1230868,360375,19624,6.4
2012,United States,4278307,13.8,14016817,16966383,25376555,13643879,6276730,72.1,274252,26,309138711,96.8,115226802,34484648,53046,16.6
2012,Alabama,68685,14.4,230802,285576,413332,168712,73389,68.8,5183,32,4777326,94.2,1837576,521728,43160,18.6
2012,Alaska,12696,17.9,28476,41602,65182,29161,11686,73.6,599,24,711139,108.5,252991,85768,69917,24.6
2012,Arizona,91202,14.2,328655,322636,544489,231951,99066,69.2,7106,32,6410979,98.9,2357158,691388,50256,17.4
2012,Arkansas,39227,13.5,134032,192994,241376,91216,35337,69.5,3366,34,2916372,96.4,1128797,323980,40531,20.6
2012,California,531999,14.3,2181125,1800121,3075364,1699853,753773,68.4,31766,24,37325068,98.9,12466331,4137409,61400,15.5
2012,Colorado,72246,14.3,208592,231149,411426,280621,122748,74.7,4234,26,5042853,100.7,1962753,589736,58244,20.5
2012,Connecticut,42449,11.9,133167,181933,265247,181279,110961,76.1,1965,16,3572213,94.9,1360184,415811,69519,14.1
2012,Delaware,11365,12.6,37057,53767,72338,38744,19786,74.5,426,14,900131,94.1,334076,94974,60119,15.1
2012,District of Columbia,7740,12.8,22826,29672,42289,46193,44094,75.1,524,23,605759,89.7,261192,45253,64267,18.0
2012,Florida,225145,11.9,779177,1097150,1526339,726690,303270,72.7,13453,23,18885152,95.6,7147013,1841841,47309,14.4
2012,Georgia,148010,15.2,479495,589694,812873,428820,207641,70.2,10303,30,9714569,95.6,3508477,1124274,49604,18.6
2012,Hawaii,20587,15.1,40174,79909,114067,61288,24202,73.7,1166,29,1362730,100.6,447453,124855,67492,18.2
2012,Idaho,26309,16.8,65226,88882,140030,57699,17318,70.6,1392,25,1567803,100.5,577648,190207,47015,22.3
2012,Illinois,175076,13.7,558227,653212,1025010,649861,314847,73.9,11384,26,12823860,96.3,4774275,1447856,56853,14.3
2012,Indiana,89519,13.8,296049,401859,535959,251569,89089,73.1,6370,28,6485530,96.9,2478846,742540,48374,19.1
2012,Iowa,41795,13.7,106390,143307,281476,133682,44256,79.9,2101,20,3047646,97.9,1223509,351272,51129,17.5
2012,Kansas,43522,15.3,113894,133006,243376,132298,53425,76.5,2562,26,2851183,98.5,1109391,337886,51273,21.1
2012,Kentucky,58935,13.6,188182,273427,369523,142716,76775,70.0,4663,33,4340167,96.8,1691716,489949,42610,19.2
2012,Louisiana,66111,14.6,227500,309690,365314,163995,59860,69.8,5340,34,4529605,95.8,1696499,499974,44673,16.9
2012,Maine,14482,10.9,40353,83799,106226,55373,22172,76.5,819,19,1329084,95.8,553208,141300,48219,15.5
2012,Maryland,81265,14.0,224548,311513,447811,302833,194641,77.4,4058,21,5785496,93.7,2138806,652842,72999,16.0
2012,Massachusetts,79176,12.1,235481,317832,494815,389667,231482,76.2,3120,14,6560595,93.8,2525694,727801,66658,14.3
2012,Michigan,123716,12.5,394305,529991,892975,382833,178223,73.2,8121,23,9897264,96.3,3818931,1098117,48471,15.1
2012,Minnesota,76531,14.4,184523,230451,474975,291082,110737,80.7,3340,19,5313081,98.7,2101875,631808,59126,17.3
2012,Mississippi,44253,14.9,147538,174792,277857,93522,40588,67.9,4180,38,2967620,94.2,1087791,328594,38882,15.3
2012,Missouri,81860,13.7,250970,335066,497482,247056,115008,75.1,5629,27,5982413,96.0,2358270,675603,47333,18.7
2012,Montana,13037,13.2,34258,52447,80780,43141,13594,75.4,825,26,990785,100.7,405508,104807,45456,19.2
2012,Nebraska,27781,15.2,69007,83605,163259,85430,32039,79.9,1437,23,1827306,98.4,721026,215069,51381,16.9
2012,Nevada,39625,14.7,150024,167905,221375,89722,34712,72.7,2553,29,2704204,102.0,992896,302169,54083,21.1
2012,New Hampshire,14452,11.0,42589,71739,107551,67219,29933,77.6,463,10,1317474,97.4,516845,149402,64925,15.5
2012,New Jersey,116203,13.2,343123,487056,603198,498755,238800,73.1,4091,14,8793888,95.0,3186878,1023914,71637,13.2
2012,New Mexico,29480,14.3,107628,107914,175573,62295,32760,68.7,3168,44,2055287,97.7,763844,219226,44886,15.4
2012,New York,248974,12.8,879015,1005790,1463677,989929,613457,71.2,11210,17,19398125,93.9,7230896,2092208,57683,14.0
2012,North Carolina,134256,14.1,425880,491398,853128,437863,170421,72.2,10238,32,9544249,95.0,3693221,1092332,46450,17.0
2012,North Dakota,9978,14.8,19316,29101,65587,34488,9784,81.3,434,19,676253,102.3,282667,74905,51641,18.5
2012,Ohio,149929,13.0,456033,702385,951455,444594,205563,74.6,9960,25,11533561,95.4,4555709,1288742,48246,15.8
2012,Oklahoma,54379,14.5,167298,231098,312074,139100,45687,70.0,4492,35,3749005,98.0,1439292,426463,44891,20.5
2012,Oregon,49970,13.0,158647,188650,333025,161532,74192,72.8,2441,20,3836628,98.0,1512718,415538,50036,16.0
2012,Pennsylvania,152277,12.0,467815,814312,924390,552890,265962,73.1,9394,21,12699589,95.1,4959633,1345729,52267,13.3
2012,Rhode Island,12550,11.9,42079,55548,92692,50399,23880,76.1,727,18,1052471,93.5,410639,112975,56102,10.0
2012,South Carolina,65588,14.2,203604,280893,398067,172964,77227,71.8,5413,34,4630351,94.7,1768255,497910,44623,18.4
2012,South Dakota,12077,14.8,30512,41539,69076,34958,11026,79.9,652,23,815871,100.7,320467,92487,49091,21.1
2012,Tennessee,94675,14.9,274120,428235,505728,246998,106440,70.7,7066,34,6353226,95.1,2468841,699502,44140,19.6
2012,Texas,411804,16.3,1480835,1421895,2064935,1043922,390652,68.3,37849,42,25208897,98.5,8782598,3024991,51563,19.3
2012,Utah,54089,19.6,118981,147696,277788,119543,33408,69.5,2122,20,2766233,101.0,880873,346817,58164,27.5
2012,Vermont,6317,10.1,18907,34332,49868,31264,14621,77.8,274,12,625498,97.3,256830,67896,54168,8.5
2012,Virginia,109017,13.6,312353,419379,647015,425277,229457,73.8,5236,19,8014955,96.4,3006219,906443,63636,18.0
2012,Washington,94898,14.1,277755,330886,596717,309346,140060,71.8,4844,22,6738714,99.4,2619995,770301,59374,18.7
2012,West Virginia,20486,11.1,74791,132254,138624,52818,24716,65.0,1758,30,1850481,97.0,742674,182772,40400,16.8
2012,Wisconsin,74525,13.1,206773,316855,490203,250695,96596,79.6,3916,20,5687219,98.5,2286339,655835,52627,15.6
2012,Wyoming,8039,14.3,18710,30441,53619,20023,7369,74.5,519,29,562803,103.8,221479,63449,56573,28.4
2012,Puerto Rico,40628,10.9,190899,200822,298983,183642,57408,56.5,5113,37,3716727,92.0,1217584,361764,19515,8.1
2011,United States,4295187,14.0,14199366,17517461,24965750,13519322,6093255,72.1,290263,27,306603772,96.7,114761359,34784394,52762,16.3
2011,Alabama,68722,14.5,239509,292142,404380,166369,72306,68.8,5408,32,4747424,94.2,1831269,531791,42934,18.6
2011,Alaska,12976,18.5,28984,41955,64577,29380,10882,73.7,762,30,700703,107.8,252920,86961,69014,28.5
2011,Arizona,93471,14.7,333873,330218,531658,229171,96421,69.2,7601,34,6337373,99.0,2344215,700707,50752,18.0
2011,Arkansas,40085,13.8,137369,196915,236087,90457,33735,69.8,3844,39,2895928,96.4,1121386,328089,40149,20.0
2011,California,534484,14.5,2204356,1851764,3012671,1677573,733841,68.3,33027,24,36969200,99.0,12433172,4173021,61632,15.7
2011,Colorado,71928,14.5,209924,240069,403096,276362,118904,74.7,4537,28,4966061,100.5,1941193,588846,57685,20.3
2011,Connecticut,43263,12.2,136556,187825,262377,181399,107719,76.0,2260,18,3558172,94.8,1360115,419997,69243,12.9
2011,Delaware,10665,12.0,37289,55474,71932,37572,19041,74.3,391,12,890856,94.2,332837,97029,59317,14.8
2011,District of Columbia,7809,13.1,22697,29843,41964,44860,41702,74.2,647,28,593955,89.6,260136,45280,61835,14.6
2011,Florida,224473,12.0,789827,1122913,1493389,722654,295686,72.7,14663,25,18688787,95.7,7140096,1871707,47827,14.1
2011,Georgia,145038,15.1,484060,610424,786217,428665,201069,70.6,10656,31,9600612,95.6,3490754,1133878,49736,17.9
2011,Hawaii,20050,14.9,40877,80441,113810,60520,22831,73.7,1202,29,1346554,100.4,445513,126224,67116,22.0
2011,Idaho,27222,17.6,66157,89848,138594,57471,16520,70.7,1670,30,1549987,100.5,575497,192125,46890,20.9
2011,Illinois,178598,14.0,568611,680396,1021169,643804,305288,73.6,11917,26,12790182,96.2,4773002,1467880,56576,14.5
2011,Indiana,90139,14.0,298133,421075,528424,247674,86110,73.0,6673,29,6454254,96.8,2472870,749063,48393,17.0
2011,Iowa,41905,13.8,107673,150189,279348,132528,42130,79.9,2224,21,3032266,97.7,1219137,351006,50451,16.8
2011,Kansas,43505,15.4,114191,139859,241111,132502,51239,76.7,2685,27,2830985,98.3,1104479,339690,50594,17.4
2011,Kentucky,59948,13.9,194712,283250,362521,140417,74091,69.8,4867,34,4316040,96.5,1681085,493175,42248,16.6
2011,Louisiana,67481,15.0,230830,319841,356648,160759,56753,69.2,6105,38,4484596,95.7,1675097,499777,44086,15.5
2011,Maine,14851,11.2,41498,86620,106103,55947,22184,76.5,772,18,1328543,95.9,551601,144762,47898,17.5
2011,Maryland,81661,14.2,228171,317899,444791,302652,188759,77.3,4228,21,5736545,93.7,2128377,656740,72419,15.0
2011,Massachusetts,80541,12.4,240126,327684,486900,389207,225126,75.8,3379,15,6512227,93.7,2522409,737110,65981,13.9
2011,Michigan,127208,12.8,400683,555111,895080,383333,176233,73.4,8689,24,9920621,96.3,3825182,1120336,48669,15.7
2011,Minnesota,77305,14.6,186901,240940,474446,288039,107503,80.5,3765,21,5278190,98.6,2094265,637255,58476,15.4
2011,Mississippi,44318,15.0,153029,180556,270380,92491,39525,68.1,4615,41,2956700,94.2,1085062,332012,38718,17.1
2011,Missouri,81434,13.7,256320,345871,493423,245113,113208,75.2,5713,27,5955802,95.9,2354104,686978,47202,16.3
2011,Montana,13287,13.5,35081,55614,79244,42731,13288,75.1,983,29,982854,100.5,403495,105726,45324,19.2
2011,Nebraska,27880,15.4,69319,87319,161600,85002,30510,79.8,1499,23,1813061,98.2,715703,216217,50695,19.3
2011,Nevada,40068,15.0,149559,171706,216645,88795,34156,72.4,2648,31,2673396,102.2,986741,304103,55553,16.6
2011,New Hampshire,14523,11.0,43528,74897,107957,66836,29940,77.4,529,11,1315911,97.5,514869,152310,64664,15.0
2011,New Jersey,118487,13.5,346053,503187,599446,498913,231144,72.9,4153,14,8753064,94.9,3180854,1030269,71180,12.3
2011,New Mexico,30350,14.9,110325,112091,171121,62624,31117,68.5,3373,46,2037136,97.5,762002,223509,44631,17.4
2011,New York,250268,13.0,890580,1044157,1444386,982218,600116,70.9,11687,17,19302448,93.8,7215687,2118154,56951,13.8
2011,North Carolina,133537,14.2,427520,509626,831288,432951,165676,72.5,10615,33,9418736,95.0,3664119,1093337,46291,17.9
2011,North Dakota,9588,14.4,19574,29690,64974,34528,8827,81.2,437,19,666783,102.0,278669,75224,49415,22.6
2011,Ohio,151230,13.1,465852,732787,942506,445397,201504,74.6,11169,28,11525536,95.3,4554007,1310872,48071,15.4
2011,Oklahoma,54036,14.5,170614,236109,307092,136459,43941,70.0,4749,37,3714520,98.0,1432735,427195,44287,22.6
2011,Oregon,49938,13.1,161811,197293,325401,159325,71059,72.9,2632,21,3801991,98.0,1509554,418240,49850,16.5
2011,Pennsylvania,154198,12.2,476975,842063,918416,549659,257271,73.1,9771,22,12660739,95.0,4952566,1363109,51651,13.1
2011,Rhode Island,12998,12.3,42746,58380,91928,50732,24113,75.9,645,16,1053959,93.3,410475,115901,55975,11.4
2011,South Carolina,65382,14.3,206714,292045,385690,170258,75003,71.8,5521,35,4575864,94.8,1758732,501703,44587,15.6
2011,South Dakota,11974,14.8,30720,42587,69060,34619,10598,80.1,651,23,807697,100.4,318466,93369,48010,15.3
2011,Tennessee,94686,15.0,280224,440067,495298,242328,102787,70.9,7481,35,6297991,95.1,2457997,705685,43989,18.6
2011,Texas,409522,16.5,1479673,1450883,2006061,1024829,375395,68.3,39495,44,24774187,98.5,8667807,3009556,50920,19.9
2011,Utah,53674,19.8,118234,150276,273906,115512,31806,69.1,2263,21,2715379,101.0,871358,344830,57783,27.3
2011,Vermont,6477,10.4,19332,36065,49663,31276,14587,78.3,255,11,624958,97.3,256711,70087,53422,17.1
2011,Virginia,106710,13.5,316323,431938,635218,422451,221444,73.8,5606,21,7926192,96.4,2991025,908493,63302,15.7
2011,Washington,94820,14.3,279304,338227,591865,305465,135115,72.1,4979,22,6652845,99.3,2602568,774719,58890,18.2
2011,West Virginia,19772,10.7,77989,136866,135751,52755,23771,64.8,1895,32,1846372,96.9,740080,184116,39550,18.0
2011,Wisconsin,75116,13.3,209670,333312,487449,246991,94002,79.6,4337,22,5664893,98.5,2279738,663403,52374,15.7
2011,Wyoming,7586,13.7,19290,31154,52689,19749,7279,74.8,590,32,554697,103.9,219628,62828,56380,22.1
2011,Puerto Rico,42281,11.3,200939,209015,296003,183181,54825,56.2,5703,41,3742586,92.0,1230093,375691,19122,8.9
2010,United States,4308790,14.2,14365180,18086559,24530211,13375042,5918930,72.1,300255,28,303965272,96.7,114235996,34990015,51914,16.6
2010,Alabama,66445,14.1,243800,300474,394448,164317,70934,68.7,5774,34,4712651,94.2,1821210,533506,42081,18.8
2010,Alaska,12974,18.8,30247,43431,62986,28019,10368,73.9,850,32,691189,108.0,248248,85863,66521,24.9
2010,Arizona,93740,15.0,333426,334322,518380,227881,95641,69.2,8112,37,6246816,99.0,2326468,699571,50448,17.1
2010,Arkansas,40505,14.1,138092,203425,229716,89408,33491,70.1,4184,42,2872684,96.3,1117154,329430,39267,21.8
2010,California,534384,14.6,2227471,1893727,2955575,1665294,713641,68.2,33880,25,36637290,99.0,12392852,4205305,60883,15.8
2010,Colorado,71406,14.6,214069,246485,395034,271449,114122,74.5,4514,28,4887061,100.4,1918959,586862,56456,23.4
2010,Connecticut,43991,12.4,135749,196795,260187,180824,105682,75.7,2304,19,3545837,94.7,1359218,425561,67740,14.2
2010,Delaware,11206,12.7,38288,58748,69039,37174,18296,74.5,540,17,881278,94.1,331639,97140,57599,17.6
2010,District of Columbia,8121,13.9,24782,30115,39792,43131,39442,74.5,727,32,584400,89.6,257317,45030,58526,19.9
2010,Florida,227748,12.3,797553,1154752,1460148,718614,289930,72.6,15609,26,18511620,95.7,7152844,1896994,47661,14.6
2010,Georgia,143991,15.2,487681,627112,763104,425567,193473,70.7,11243,32,9468815,95.6,3468704,1135790,49347,17.5
2010,Hawaii,18847,14.1,40439,83013,112467,60935,22326,74.0,1038,25,1333591,100.4,442267,125896,66420,17.5
2010,Idaho,26609,17.4,67875,92908,135154,55572,15881,71.0,1745,31,1526797,100.3,570283,191882,46423,20.9
2010,Illinois,181623,14.3,579943,698597,1021626,634220,297934,73.4,11805,26,12745359,96.2,4769951,1486298,55735,14.9
2010,Indiana,90479,14.1,302897,435780,520386,243041,84993,73.3,6917,30,6417398,96.7,2465402,756597,47697,17.7
2010,Iowa,43176,14.3,109760,156750,277117,131711,40422,80.2,2360,22,3016267,97.5,1215954,352937,48872,19.9
2010,Kansas,43262,15.4,116339,147840,236942,129566,49772,76.8,2782,28,2809329,98.1,1101672,341510,49424,19.3
2010,Kentucky,60114,14.0,197847,294574,355674,138049,72384,69.7,5199,36,4285828,96.6,1676708,496118,41576,21.3
2010,Louisiana,66432,15.0,235300,324300,346520,158491,55598,69.2,6501,40,4429940,95.6,1641165,495994,43445,16.8
2010,Maine,15037,11.3,43596,91593,104810,55229,21408,76.2,759,17,1327665,95.8,551125,148154,46933,13.7
2010,Maryland,83368,14.6,231564,328728,440340,302384,183086,77.2,4253,21,5696423,93.6,2121047,661728,70647,17.2
2010,Massachusetts,79629,12.3,240414,343180,477406,390632,221382,75.7,3375,15,6477096,93.6,2512552,741807,64509,14.0
2010,Michigan,130487,13.1,410077,584246,893923,384411,172257,73.5,9186,25,9952687,96.4,3843997,1145298,48432,13.8
2010,Minnesota,78175,14.9,187972,252682,475033,285229,102963,80.5,4058,22,5241914,98.5,2085917,639020,57243,15.5
2010,Mississippi,45879,15.6,157051,188506,262749,92658,37872,68.3,5001,45,2941991,94.3,1081052,334080,37881,16.9
2010,Missouri,80249,13.6,261149,362812,484846,242547,109523,75.2,5678,27,5922314,95.7,2349955,691449,46262,16.1
2010,Montana,13439,13.8,36566,57013,78402,42307,12676,75.1,1131,33,973739,100.4,401328,107219,43872,20.8
2010,Nebraska,28898,16.1,69585,91274,159877,84224,29524,79.6,1562,25,1799125,98.0,711771,217081,49342,23.4
2010,Nevada,39518,15.0,146627,174292,213835,85756,33600,72.5,2675,31,2633331,102.3,979621,304819,55726,20.1
2010,New Hampshire,14831,11.3,44255,79614,106174,67596,29020,77.2,631,13,1313939,97.5,513804,154506,63277,18.5
2010,New Jersey,119743,13.7,350028,519722,594994,496663,226479,72.8,4576,16,8721577,94.8,3176069,1037012,69811,13.2
2010,New Mexico,29604,14.7,110761,117250,167699,61594,30530,68.6,3333,45,2013122,97.3,756112,224961,43820,16.4
2010,New York,250659,13.0,900379,1086857,1428580,974476,585919,70.8,12577,19,19229752,93.7,7205740,2137455,55603,14.0
2010,North Carolina,133140,14.4,428738,528830,808043,424527,158551,72.6,11161,35,9271178,95.1,3626179,1089890,45570,17.5
2010,North Dakota,9272,14.1,20009,31507,64109,33504,8461,81.0,477,20,659858,101.8,276642,74918,46781,17.3
2010,Ohio,153737,13.4,475321,767993,933640,444575,194262,74.7,11262,28,11512431,95.3,4552270,1329241,47358,14.7
2010,Oklahoma,52619,14.3,172789,242546,301771,133362,42212,70.1,4826,37,3675339,97.7,1421705,425149,42979,18.4
2010,Oregon,50439,13.4,164297,202650,320491,157729,68276,73.1,2840,23,3761925,98.0,1499267,420121,49260,18.1
2010,Pennsylvania,154383,12.2,484566,874381,906208,545276,249240,73.0,9626,21,12612705,94.8,4940581,1374406,50398,13.8
2010,Rhode Island,13023,12.3,44281,61334,90336,50192,24503,75.3,653,16,1056389,93.3,410305,117324,54902,11.9
2010,South Carolina,63251,14.0,208978,302667,372459,168030,72562,72.2,5498,34,4511428,94.8,1741994,503638,43939,16.4
2010,South Dakota,12046,15.1,30550,44592,67919,34807,9985,80.0,609,21,799462,100.3,315468,92720,46369,17.3
2010,Tennessee,95958,15.4,287685,449155,485575,236850,99428,70.7,7777,37,6234968,95.1,2443475,714715,43314,17.5
2010,Texas,409412,16.8,1485486,1474731,1944541,999818,360222,68.3,39989,45,24311891,98.4,8539206,2995092,49646,19.7
2010,Utah,54739,20.6,117270,152355,267564,111546,30949,69.3,2406,22,2657236,100.9,859158,342455,56330,26.4
2010,Vermont,6669,10.7,19895,38138,49389,31120,14505,78.5,330,14,624258,97.2,256612,71494,51841,17.2
2010,Virginia,105640,13.5,319765,447823,623595,416684,212365,73.9,5752,21,7841754,96.4,2974481,908065,61406,18.0
2010,Washington,95585,14.6,281612,346125,582979,301218,131657,72.3,5191,23,6561297,99.2,2577375,775018,57244,18.6
2010,West Virginia,20438,11.1,78918,142386,134370,52300,22390,64.7,1977,33,1840802,96.6,740874,188268,38380,15.9
2010,Wisconsin,76107,13.5,213334,346129,482596,245545,92184,79.9,4326,22,5637947,98.4,2274611,671117,51598,13.1
2010,Wyoming,7763,14.2,20104,32300,51663,18990,6609,75.1,676,37,545579,103.8,217688,63511,53802,30.7
2010,Puerto Rico,43201,11.5,210539,215595,293065,182491,52570,56.0,5725,40,3762322,92.1,1227039,379539,18791,9.2
2009,United States,4263387,14.1,14235636,18483710,24121706,13200960,5754821,72.1,290876,28,301461533,97.1,112611029,34883550,51425,17.6
2009,Alabama,66776,14.4,239747,304964,382232,162931,69666,68.6,6053,38,4633360,93.9,1819441,539926,41216,18.8
2009,Alaska,12413,18.2,30069,45584,62168,27609,10439,73.9,726,28,683142,108.6,234779,82275,64635,24.7
2009,Arizona,94426,14.9,338219,351027,509779,229385,95423,69.1,7555,36,6324865,100.4,2248170,690517,50296,19.0
2009,Arkansas,40916,14.4,135932,207921,224165,90307,33455,70.5,4337,44,2838143,95.8,1109635,332102,38542,23.0
2009,California,527955,14.5,2182361,1908135,2867100,1634105,692998,68.0,32143,25,36308527,100.0,12187191,4182310,60392,17.5
2009,Colorado,70451,14.5,212334,252770,393556,267450,110365,74.6,4494,28,4843211,101.4,1869276,577503,56222,22.0
2009,Connecticut,42899,12.3,133056,198971,258374,179256,104190,75.3,1979,16,3494487,95.2,1327482,420786,67721,15.9
2009,Delaware,11083,12.8,36738,59728,66633,36904,17936,74.9,543,18,863832,94.4,325160,96043,57618,20.9
2009,District of Columbia,8174,13.9,26108,31566,38744,37516,37222,74.3,744,33,588433,89.3,250723,45878,56519,16.9
2009,Florida,229442,12.6,779020,1151628,1409788,705697,279136,72.5,15482,27,18222420,96.6,7076539,1905642,47450,15.2
2009,Georgia,141572,14.9,485672,640550,748914,429134,191572,71.1,10671,32,9497667,96.6,3417298,1126118,49466,20.4
2009,Hawaii,18473,14.4,37720,80456,106929,58810,21906,73.6,937,25,1280241,102.4,437976,128783,64661,21.9
2009,Idaho,26057,17.5,66985,93615,133775,53339,15503,71.2,1794,32,1492573,100.8,552726,188830,46183,25.1
2009,Illinois,180178,14.1,579159,721802,1030635,627434,287011,73.3,12066,27,12785043,96.9,4749388,1491251,55222,16.3
2009,Indiana,90950,14.3,300370,445893,513288,237741,82646,73.5,6728,30,6342469,96.9,2468006,766321,47465,18.9
